Job_id,company_id,designation,city,state,country,details_id,job_link
jod_id_101,comp_id_1001,Data Analyst,not_specify,not_specify,India,detail_1,https://www.linkedin.com/jobs/view/3261146964/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=TX969PE9ptpwxzYFvaDpiA%3D%3D&trk=flagship3_search_srp_jobs
jod_id_102,comp_id_1002,Data science internship and training program,not_specify,not_specify,India,detail_2,https://www.linkedin.com/jobs/view/3261123667/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=nq0as1Rww7r8mbyv%2Bgz6iA%3D%3D&trk=flagship3_search_srp_jobs
jod_id_103,comp_id_1002,Data Science Training & Internship,not_specify,not_specify,India,detail_3,https://www.linkedin.com/jobs/view/3256552248/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=mJD9lADoVNu4FfeUyBs1Eg%3D%3D&trk=flagship3_search_srp_jobs
jod_id_104,comp_id_1002,Data Science Training and Internship,not_specify,not_specify,India,detail_4,https://www.linkedin.com/jobs/view/3261128025/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=BJ7dmTZ3ZAtbLklR0PWKEQ%3D%3D&trk=flagship3_search_srp_jobs
jod_id_105,comp_id_1003,Data Science-Trainee (Read JD carefully before Applying),Gurugram, Haryana,India,detail_5,https://www.linkedin.com/jobs/view/3261041199/?eBP=JOB_SEARCH_ORGANIC&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=3MwjXOa4KuFrhGp0f8iAEw%3D%3D&trk=flagship3_search_srp_jobs
jod_id_106,comp_id_1004,Data Analyst (SQL),Bengaluru, Karnataka,India,detail_6,https://www.linkedin.com/jobs/view/3259937446/?eBP=JOB_SEARCH_ORGANIC&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=KnEI5PCOX1IDyFMp91LO7Q%3D%3D&trk=flagship3_search_srp_jobs
jod_id_107,comp_id_1005,Big Data Analysis Tool and Techniques Data Platform Engineer,Mumbai, Maharashtra,India,detail_7,https://www.linkedin.com/jobs/view/3260647701/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=2Z5vAhN8fiuKdsobl6uyzA%3D%3D&trackingId=GelbkjlOD5qAc%2Fn8l%2B3IDA%3D%3D&trk=flagship3_search_srp_jobs
jod_id_108,comp_id_1002,Data science Training and Internship Program,not_specify,not_specify,India,detail_8,https://www.linkedin.com/jobs/view/3261119123/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=3MDp5gvjCGUuIzP1SMVkDw%3D%3D&trackingId=XzlP1bwul53h3VknRH9Oug%3D%3D&trk=flagship3_search_srp_jobs
jod_id_109,comp_id_1006,Data Science Training and Internship,Bengaluru, Karnataka,India,detail_9,https://www.linkedin.com/jobs/view/3256515274/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=3MDp5gvjCGUuIzP1SMVkDw%3D%3D&trackingId=o7Yl6z1uivI%2B89rIKMvnZA%3D%3D&trk=flagship3_search_srp_jobs
jod_id_110,comp_id_1007,LitmusWorld - Data Analyst - Python/MySQL,Greater Kolkata Area,not_specify,India,detail_10,https://www.linkedin.com/jobs/view/3256559114/?eBP=JOB_SEARCH_ORGANIC&refId=3MDp5gvjCGUuIzP1SMVkDw%3D%3D&trackingId=kim8XYK2xKl3SoTQbjGmCg%3D%3D&trk=flagship3_search_srp_jobs
