company_id,company name,linkedin_followers,industry,employees_count(min),employees_count(max)
comp_id_1001,PediaGeek,12392,Internet Publishing,51,200
comp_id_1002,Corizo,19571,E-Learning Providers,51,200
comp_id_1003,Brainalyst Pvt. Ltd.,1246,IT Services and IT Consulting,11,50
comp_id_1004,Giant Eagle GCC,N/A,IT Services and IT Consulting,51,200
comp_id_1005,Accenture in India,1399744,IT Services and IT Consulting,10000,10001
comp_id_1006,SkillVertex,106102,E-Learning Providers,201,500
comp_id_1007,LitmusWorld,14952,IT Services and IT Consulting,51,200
comp_id_1008,Shadowing AI,3410,"Technology, Information and Internet",11,50
comp_id_1009,R K Enterprises,1918,Computer and Network Security,not_specify,not_specify
comp_id_1010,Deputize Consultancy Pvt Ltd,14676,Human Resources Services,11,50
comp_id_1011,ICE,127600,Financial Services,5001,10000
comp_id_1012,JPMorgan Chase & Co.,3320425,Financial Services,10000,10001
comp_id_1013,TeamPlus Staffing Solution Pvt Ltd,3818,Staffing and Recruiting,11,50
comp_id_1014,Innointel,496,Software Development,11,50
comp_id_1015,Subtlelabs,741,IT Services and IT Consulting,11,50
comp_id_1016,Coincent.ai,N/A,E-Learning Providers,not_specify,not_specify
comp_id_1017,State Street,435992,Financial Services,10000,10001
comp_id_1018,Metvy,27264,E-Learning Providers,201,500
comp_id_1019,MBA Hub,26248,E-Learning Providers,1,10
comp_id_1020,Schneider Electric,3337635,"Appliances, Electrical, and Electronics Manufacturing",not_specify,not_specify
comp_id_1021,FinByz Tech Pvt Ltd,1557,IT Services and IT Consulting,11,50
comp_id_1022,Indika AI,3343,IT Services and IT Consulting,not_specify,not_specify
comp_id_1023,"Crafter,Inc",692,Entertainment Providers,1,10
comp_id_1024,"Mettler-Toledo International, Inc",108845,"Appliances, Electrical, and Electronics Manufacturing",10000,10001
comp_id_1025,KakshaCool,2023,Education,not_specify,not_specify
comp_id_1026,AdAired Digital Media,2412,IT Services and IT Consulting,not_specify,not_specify
comp_id_1027,BharatPe,103928,Financial Services,not_specify,not_specify
comp_id_1028,dentsu international,648058,Advertising Services,10000,10001
comp_id_1029,IDBI Intech LTD,8412,IT Services and IT Consulting,1001,5000
comp_id_1030,CRISIL Limited,N/A,Financial Services,1001,5000
comp_id_1031,BAVCH EDUTECH,7742,E-Learning Providers,not_specify,not_specify
comp_id_1032,SpotShine Consulting,2381,Human Resources Services,not_specify,not_specify
comp_id_1033,Spectral Consultants,18420,Executive Search Services,11,50
comp_id_1034,University of the People,N/A,Higher Education,201,500
comp_id_1035,SKYREAD DIGITAL,14631,Book and Periodical Publishing,1,10
comp_id_1036,RESEARCH DEVELOPERS,339,Education Administration Programs,51,200
comp_id_1037,DBS Bank,762852,Banking,10000,10001
comp_id_1038,Mace,339854,Construction,5001,10000
comp_id_1039,Suvidha Foundation (Suvidha Mahila Mandal),49363,Non-profit Organizations,not_specify,not_specify
comp_id_1040,Skill Mantra,1347,E-Learning Providers,1,10
comp_id_1041,Godrej Infotech Ltd,22811,IT Services and IT Consulting,501,1000
comp_id_1042,GoodSpace,32182,IT Services and IT Consulting,11,50
comp_id_1043,VAHDAM® India,13924,Food and Beverage Services,201,500
comp_id_1044,BT,567571,Telecommunications,10000,10001
comp_id_1045,Work From Home,60081,Staffing and Recruiting,10000,10001
comp_id_1046,Lernx,15572,E-Learning Providers,51,200
comp_id_1047,FlywiseOverseas,398,Education Administration Programs,1,10
comp_id_1048,CGI,925924,IT Services and IT Consulting,10000,10001
comp_id_1049,Puma Energy,281057,Oil and Gas,1001,5000
comp_id_1050,Cyberium Inc,627,Internet Publishing,51,200
comp_id_1051,Protrainy,11312,E-Learning Providers,not_specify,not_specify
comp_id_1052,MakeMyTrip,423553,"Technology, Information and Internet",1001,5000
comp_id_1053,BNP Paribas,1182703,Banking,10000,10001
comp_id_1054,Micron Technology,444261,Semiconductor Manufacturing,10000,10001
