details_id,involvement,level,work_type,total_applicants
detail_1,Internship,not_specify,Remote,21
detail_2,Internship,not_specify,Remote,4
detail_3,Internship,not_specify,Remote,8
detail_4,Internship,not_specify,Remote,4
detail_5,Full-time,not_specify,Hybrid,41
detail_6,Full-time , Entry level,not specify,67
detail_7,Full-time , Mid-Senior level,On-site,6
detail_8,Internship,not_specify,Remote,12
detail_9,Internship,not_specify,Remote,11
detail_10,Full-time , Entry level,On-site,0
detail_11,not specify,not_specify,Remote,5
detail_12,Full-time,not_specify,Remote,0
detail_13,not specify,not_specify,Remote,3
detail_14,not specify,not_specify,On-site,0
detail_15,not specify,not_specify,On-site,3
detail_16,not specify,not_specify,On-site,0
detail_17,not specify,not_specify,On-site,0
detail_18,not specify,not_specify,On-site,0
detail_19,Full-time,not_specify,On-site,19
detail_20,Full-time,not_specify,not specify,0
detail_21,not specify,not_specify,On-site,0
detail_22,Full-time , Entry level,On-site,0
detail_23,Full-time , Entry level,On-site,0
detail_24,Full-time , Entry level,On-site,0
detail_25,Full-time , Internship,On-site,3
detail_26,not specify,not_specify,not specify,0
detail_27,not specify,not_specify,On-site,0
detail_28,Full-time , Entry level,On-site,4
detail_29,Full-time , Internship,On-site,0
detail_30,Full-time , Entry level,On-site,0
detail_31,not specify,not_specify,Remote,0
detail_32,Full-time,not_specify,On-site,0
detail_33,Internship,not_specify,Remote,0
detail_34,Internship,not_specify,Remote,15
detail_35,not specify,not_specify,not specify,0
detail_36,Full-time , Entry level,On-site,17
detail_37,Full-time , Internship,On-site,0
detail_38,Full-time , Mid-Senior level,On-site,0
detail_39,not specify,not_specify,Remote,0
detail_40,Internship,not_specify,On-site,29
detail_41,Full-time , Internship,On-site,11
detail_42,Full-time , Associate,On-site,0
detail_43,Full-time , Entry level,On-site,3
detail_44,Full-time , Entry level,On-site,3
detail_45,Full-time , Entry level,On-site,0
detail_46,Internship,not_specify,Remote,34
detail_47,not specify,not_specify,Remote,0
detail_48,not specify,not_specify,On-site,0
detail_49,not specify,not_specify,not specify,0
detail_50,not specify,not_specify,On-site,0
detail_51,Full-time,not_specify,On-site,13
detail_52,Internship , Internship,Hybrid,22
detail_53,not specify,not_specify,Remote,0
detail_54,not specify,not_specify,On-site,3
